id,status,occupation
F-ham-pla.1,worker,MissingOccupation
F-ham-all,MissingStatus,MissingOccupation
F-ham-amb,noble,MissingOccupation
F-ham-plp,worker,MissingOccupation
F-ham-plq,worker,MissingOccupation
F-ham-ber,worker,military
F-ham-cap,worker,military
F-ham-clo.1,worker,MissingOccupation
F-ham-for,noble,military
F-ham-fra,worker,military
F-ham-gen,noble,MissingOccupation
F-ham-gmn,noble,MissingOccupation
F-ham-gho,noble,military
F-ham-gui,noble,MissingOccupation
F-ham-ham,noble,MissingOccupation
F-ham-hor,noble,MissingOccupation
F-ham-cla,noble,MissingOccupation
F-ham-lae,MissingStatus,MissingOccupation
F-ham-luc,noble,MissingOccupation
F-ham-mar,worker,military
F-ham-mes,worker,MissingOccupation
F-ham-oph,noble,MissingOccupation
F-ham-osr,noble,MissingOccupation
F-ham-clo.2,worker,MissingOccupation
F-ham-pol,noble,MissingOccupation
F-ham-plk,worker,MissingOccupation
F-ham-pri,worker,MissingOccupation
F-ham-ger,noble,MissingOccupation
F-ham-ros,noble,MissingOccupation
F-ham-rey,worker,MissingOccupation
F-ham-sai,worker,MissingOccupation
F-ham-ser,worker,MissingOccupation
F-ham-vol,noble,MissingOccupation
